Date,Price,Open,High,Low,Volume,Change(%)
4-Dec-17,403.65,405.8,411.25,401.7,10043491,1.19%
1-Dec-17,398.9,407.9,410.25,396.5,7959197,-1.30%
30-Nov-17,404.15,410.4,412.25,402.25,25646262,-2.37%
29-Nov-17,413.95,415.9,419.45,412.05,4327453,-0.48%
28-Nov-17,415.95,419.8,422.25,414.5,6217480,-1.29%
27-Nov-17,421.4,423,424.75,417.8,7946028,-0.96%
24-Nov-17,425.5,427,429.95,424.25,5108182,-0.18%
23-Nov-17,426.25,428.6,431.05,422.45,7374216,-0.55%
22-Nov-17,428.6,425.45,433,424.5,7899417,1.03%
21-Nov-17,424.25,424.45,430,422.5,6745407,0.30%
20-Nov-17,423,421,425.7,420.1,4051153,0.28%
17-Nov-17,421.8,419.45,423.45,417,6191428,2.02%
16-Nov-17,413.45,411.35,415.9,411.35,6291441,1.17%
15-Nov-17,408.65,414.3,417.55,407,9867270,-1.36%
14-Nov-17,414.3,418.55,421.85,410.65,8987515,-0.91%
13-Nov-17,418.1,423,427.5,416.1,9857544,-1.05%
10-Nov-17,422.55,438.95,438.95,420,22534490,-4.00%
9-Nov-17,440.15,442.1,450.9,425.65,40547266,0.45%
8-Nov-17,438.2,448,455,431.3,11193613,-3.02%
7-Nov-17,451.85,458.2,465.9,450.05,13266543,-2.39%
6-Nov-17,462.9,445.75,468,443.55,19456789,3.40%
